genotype,date,temp,food,pheromone,neuron,cell.ID,ID,area,mean,mode,min,max,IntDen,Median,RawIntDen,notes,line,rescaledASI,medianASI,medianASJ,rescaledASJ
N2,9_21_16,25,HB101,0,ASJ,1522,2,0.43,1080.415,1083,995,1115,464.315,1081,44297,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASJ,1523,2,0.482,688.891,663,633,736,332.16,696,31689,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASI,1524,1,1.499,3478.112,3652,2773,3814,5213.362,3529,497370,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASI,1525,1,1.09,3141.212,3162,2977,3268,3424.277,3153,326686,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASJ,1526,1,0.514,1701.857,1713,1653,1786,874.093,1702,83391,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASJ,1527,1,0.514,1257.735,1254,1219,1304,645.987,1255,61629,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASI,1528,4,2.379,1974.119,2185,1280,2317,4697.183,2096,448125,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASI,1529,4,1.205,1429.365,1434,1341,1524,1722.977,1434,164377,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASJ,1530,4,1.027,1069.255,1102,959,1168,1098.363,1070,104787,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASJ,1531,4,0.922,869.307,838,821,923,801.852,870,76499,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASI,1532,5,1.426,3190.735,2815,2661,3485,4548.498,3239,433940,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASI,1533,5,1.153,3594.191,3446,3311,3871,4144.118,3609,395361,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASJ,1534,5,0.702,791.448,794,755,849,555.822,793,53027,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASJ,1535,5,0.776,1044.824,1049,1003,1099,810.426,1047,77317,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASI,1536,6,2.358,4066.858,4095,3239,4095,9591.352,4095,915043,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASI,1537,6,1.95,4054.435,4095,3470,4095,7904.632,4095,754125,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASJ,1538,6,0.786,1824.773,1857,1696,1919,1434.526,1832,136858,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASJ,1539,6,0.776,964.108,946,913,1016,747.818,963,71344,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASI,1540,7,1.782,4095,4095,4095,4095,7296.946,4095,696150,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASI,1541,7,1.698,4003.198,4095,3296,4095,6797.675,4095,648518,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASJ,1542,7,0.849,1787.284,1871,1552,1974,1517.459,1815,144770,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASJ,1543,7,0.765,1900.11,1887,1767,2004,1453.918,1905,138708,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASI,1544,8,1.604,4095,4095,4095,4095,6567.252,4095,626535,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASI,1545,8,0.807,4095,4095,4095,4095,3305.087,4095,315315,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASJ,1546,8,1.153,2436.582,2285,2188,2601,2809.39,2458,268024,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASJ,1547,8,0.681,1418.923,1393,1328,1486,966.742,1421,92230,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASI,1548,9,1.834,4027.486,4095,3630,4095,7387.719,4095,704810,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASI,1549,9,1.268,4095,4095,4095,4095,5193.709,4095,495495,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASJ,1550,9,0.943,1045.067,1027,993,1102,985.882,1049,94056,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASJ,1551,9,0.702,946.507,953,902,995,664.718,947,63416,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASI,1552,10,0.891,4095,4095,4095,4095,3648.473,4095,348075,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASI,1553,10,1.059,4095,4095,4095,4095,4335.245,4095,413595,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASJ,1554,10,0.954,1927.209,1906,1828,2027,1838.267,1925,175376,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASJ,1555,10,1.216,1381.509,1386,1290,1447,1679.77,1385,160255,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASI,1556,3,1.719,3990.909,4095,3409,4095,6860.471,4095,654509,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASI,1557,3,1.646,4093.032,4095,3786,4095,6735.706,4095,642606,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASJ,1558,3,0.503,1498.083,1503,1416,1559,753.73,1503,71908,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASJ,1559,3,0.43,2456.512,2424,2353,2562,1055.701,2458,100717,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1560,1,0.933,1904.955,1870,1787,2010,1777.105,1908,169541,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1561,1,0.786,1634.107,1439,1439,1816,1284.636,1630,122558,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASJ,1562,1,1.478,999.468,1007,929,1063,1477.156,1003,140925,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASJ,1563,1,0.996,1064.674,1085,987,1115,1060.177,1069,101144,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1564,2,1.813,3767.277,4095,2627,4095,6831.437,3878,651739,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1565,2,0.744,3547.211,3240,3001,3992,2639.877,3557,251852,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASJ,1566,2,0.744,1711.958,1699,1590,1785,1274.06,1713,121549,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASJ,1567,2,0.88,1260.048,1227,1207,1326,1109.442,1258,105844,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1568,10,1.761,3637.327,3562,3024,4021,6405.16,3655,611071,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1569,10,1.122,3665.243,3866,3178,3960,4110.786,3694,392181,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASJ,1570,10,0.87,938.096,928,860,993,816.139,939,77862,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASJ,1571,10,0.556,725.057,726,689,758,402.797,726,38428,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1572,9,1.143,2812.514,2914,2114,3080,3213.361,2843,306564,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1573,9,0.755,2462.292,2368,2259,2667,1858.276,2464,177285,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASJ,1574,9,0.723,985.449,979,928,1038,712.725,991,67996,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASJ,1575,9,0.472,1634.978,1573,1492,1730,771.192,1642,73574,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1576,3,1.017,3160.938,3073,2281,3432,3213.853,3240,306611,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1577,3,0.713,2756.147,2732,2566,2908,1964.489,2761,187418,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASJ,1578,3,0.943,1757.989,1819,1527,1880,1658.429,1780,158219,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASJ,1579,3,0.335,1271.688,1269,1199,1352,426.549,1269,40694,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1580,4,0.922,2277.977,2092,1848,2556,2101.215,2299,200462,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1581,4,1.415,3255.007,3120,2547,3555,4606.002,3303,439426,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASJ,1582,4,0.985,979.617,950,892,1044,965.212,979,92084,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASJ,1583,4,0.744,1236.465,1206,1102,1305,920.192,1246,87789,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1584,5,0.713,1183.912,1105,1104,1263,843.853,1194,80506,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1585,5,0.65,1333.903,1340,1216,1418,866.871,1339,82702,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASJ,1586,5,0.755,764.431,754,728,803,576.911,764,55039,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASJ,1587,5,0.786,713.667,702,672,743,561.042,715,53525,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1588,6,0.702,2703.119,2645,2531,2823,1898.359,2712,181109,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1589,6,0.639,3699.82,3732,3427,3896,2365.64,3723,225689,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASJ,1590,6,0.818,644.974,656,601,683,527.321,644,50308,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASJ,1591,6,0.577,1255.309,1245,1200,1295,723.689,1256,69042,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1592,7,1.069,2519.814,2628,1887,2715,2694.058,2582,257021,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1593,7,0.346,2605.545,2532,2470,2730,901.262,2606,85983,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASJ,1594,7,0.419,701.775,696,667,736,294.236,702,28071,HB101 contaminated,,,,,
